"Product ID, SKU, or Name",Author,Date (optional),Rating (1-5),Review Title,Review Content
BOR054,rachel,2020/11/25 11:17:53,5,Homemaking,Soften Laundry Water
RAD429,ALEXIS,2020/11/24 16:44:23,5,Vape/E-liquid manufacturer,This will be a key companet of our CBD products.
CAF050-Tate,Lynn,2020/11/23 23:46:16,5,The bath bomb industry,We name bath bombs
COT055,Julie,2020/11/22 09:35:24,5,Children’s,We use it for home made play dough
DFT550-50,Luke,2020/11/20 13:05:00,5,Hemp,"Heating and chill our reactors, extraction equipment"
LAC057,Shaun,2020/11/17 19:40:08,5,Food manufacturing,In vegan cheese with hemp seed.
CET050,Luisa Alonso,2020/11/11 20:07:50,5,Sci,Conditioner to skin
TTF055,arun nandagiri,2020/11/03 16:41:16,5,Hair and Skin treatment,we use it to manufacture hair treatment product
PCG050,Miguel,2020/11/03 15:05:51,5,Bakery,We use in bread and jelly.
CAF057,Jeni,10/30/2020 18:40,5,Pet supplies,Bath bombs
CLT050,Tony,2020/10/29 17:11:28,5,Restaurant,Restaurant cooking and bakery
RAD429,Kike,2020/10/27 16:39:54,5,Personal care,Production of body oil
MAF050,Marc,2020/10/27 14:21:47,5,Agriculture,agriculture
CAF050-ADM,Brooke,2020/10/26 15:23:46,5,Bath and body products,Bath bombs
CAF050-ADM,Mary,2020/10/24 15:48:17,5,Medical manufacturing,Fermentation of ag waste to make fertilizer
CAF050-ADM,Mary,2020/10/24 15:21:17,5,Medical manufacturing,Fermentation of ag green waste
XAN055-FUF,Naomi Reis,2020/10/16 13:09:38,5,Baking/Food,for gluten-free bread
NUC047,Ted,2020/10/12 21:01:05,5,Bakery,Used as an addictive for color
PBI050,neal,2020/09/30 14:02:14,5,winemaking,Winemaking kits
DIW055,Mary,2020/09/22 09:35:08,5,machining,"WE HAVE (3) LASER'S IN OUR
COMPANY AND US THE DEIONIZED WATER IN ALL (3) MACHINES.
KING REGARDS,
MARY POTTS
PURCHASING MANAGER"
